Courtyard_ID,Courtyard_area(m2),Water_place_area(m2),Green_area(m2),Courtyard_length(m),Courtyard_width(m),Courtyard_direction(deg),Water_place_length(m),Water_place_width(m),Water_place_direction(deg),House_area(m2),House_length(m),House_width(m),House_direction(deg),City,climate_divisions,latitude,longitude,altitude,temp_air_mean,temp_air_min,temp_air_50%,temp_air_max,temp_dew_mean,temp_dew_min,temp_dew_50%,temp_dew_max,relative_humidity_mean,relative_humidity_min,relative_humidity_50%,relative_humidity_max,atmospheric_pressure_mean,atmospheric_pressure_min,atmospheric_pressure_50%,atmospheric_pressure_max,etr_mean,etr_min,etr_50%,etr_max,ghi_infrared_mean,ghi_infrared_min,ghi_infrared_50%,ghi_infrared_max,dni_mean,dni_min,dni_50%,dni_max,dhi_mean,dhi_min,dhi_50%,dhi_max,global_hor_illum_mean,global_hor_illum_min,global_hor_illum_50%,global_hor_illum_max,diffuse_horizontal_illum_mean,diffuse_horizontal_illum_min,diffuse_horizontal_illum_50%,diffuse_horizontal_illum_max,wind_direction_mean,wind_direction_50%,wind_speed_mean,wind_speed_min,wind_speed_50%,wind_speed_max,precipitable_water_mean,precipitable_water_min,precipitable_water_50%,precipitable_water_max,Water_place/Courtyard_area_Ratio,Green/Courtyard_area_Ratio,Courtyard/House_area_Ratio,Water_place/House_area_Ratio,Green/House_area_Ratio,Courtyard_Ratio,House_Ratio,Water_place_Ratio
R7-0379_50_14,31.04752,,,6.32853,5.4169774,179.81465,,,,,,,,Abarkooh,Bsk,31.183,52.667,2004.0,14.828356,-12.0,14.3,35.8,-3.8679223,-24.9,-3.7,12.8,32.2121,2.0,27.0,100.0,80027.62,78524.0,79989.0,81529.0,363.12125,,10.0,1304.0,311.2709,195.0,308.0,448.0,257.41873,,,873.0,78.1129,,2.0,498.0,29542.752,,213.0,128522.0,9228.203,,214.5,58110.0,193.40343,209.0,2.4314384,,2.0,18.0,6.386187,1.0,6.0,29.0,,,,,,,,
R7-0379_50_8,49.162354,,,9.212452,5.8566895,179.90033,,,,204.66711,16.282383,15.666468,178.34082,Abarkooh,Bsk,31.183,52.667,2004.0,14.828356,-12.0,14.3,35.8,-3.8679223,-24.9,-3.7,12.8,32.2121,2.0,27.0,100.0,80027.62,78524.0,79989.0,81529.0,363.12125,,10.0,1304.0,311.2709,195.0,308.0,448.0,257.41873,,,873.0,78.1129,,2.0,498.0,29542.752,,213.0,128522.0,9228.203,,214.5,58110.0,193.40343,209.0,2.4314384,,2.0,18.0,6.386187,1.0,6.0,29.0,,,0.2402064,,,1.5729795,1.0393143,
R7-0379_50_12,43.8567,,,8.793472,6.698801,178.31209,,,,214.25006,17.406715,14.269848,182.9835,Abarkooh,Bsk,31.183,52.667,2004.0,14.828356,-12.0,14.3,35.8,-3.8679223,-24.9,-3.7,12.8,32.2121,2.0,27.0,100.0,80027.62,78524.0,79989.0,81529.0,363.12125,,10.0,1304.0,311.2709,195.0,308.0,448.0,257.41873,,,873.0,78.1129,,2.0,498.0,29542.752,,213.0,128522.0,9228.203,,214.5,58110.0,193.40343,209.0,2.4314384,,2.0,18.0,6.386187,1.0,6.0,29.0,,,0.20469865,,,1.3126935,1.2198248,
R7-0379_50_6,0.020164,1.2930166,,0.15061374,0.15061374,179.2146,1.6095155,1.0550413,181.35213,0.181476,0.781,0.355,180.0,Abarkooh,Bsk,31.183,52.667,2004.0,14.828356,-12.0,14.3,35.8,-3.8679223,-24.9,-3.7,12.8,32.2121,2.0,27.0,100.0,80027.62,78524.0,79989.0,81529.0,363.12125,,10.0,1304.0,311.2709,195.0,308.0,448.0,257.41873,,,873.0,78.1129,,2.0,498.0,29542.752,,213.0,128522.0,9228.203,,214.5,58110.0,193.40343,209.0,2.4314384,,2.0,18.0,6.386187,1.0,6.0,29.0,64.125,,0.11111111,7.125,,1.0,2.2,1.5255475
R7-0379_50_7,20.491665,,,5.0741906,4.9170256,178.10745,,,,585.72894,31.333128,22.106712,181.54076,Abarkooh,Bsk,31.183,52.667,2004.0,14.828356,-12.0,14.3,35.8,-3.8679223,-24.9,-3.7,12.8,32.2121,2.0,27.0,100.0,80027.62,78524.0,79989.0,81529.0,363.12125,,10.0,1304.0,311.2709,195.0,308.0,448.0,257.41873,,,873.0,78.1129,,2.0,498.0,29542.752,,213.0,128522.0,9228.203,,214.5,58110.0,193.40343,209.0,2.4314384,,2.0,18.0,6.386187,1.0,6.0,29.0,,,0.034984894,,,1.0319635,1.4173582,
R7-0379_50_10,56.66084,6.543218,,8.404865,7.956673,178.31071,4.225383,2.0776744,181.40565,155.88033,17.953842,10.019607,179.8511,Abarkooh,Bsk,31.183,52.667,2004.0,14.828356,-12.0,14.3,35.8,-3.8679223,-24.9,-3.7,12.8,32.2121,2.0,27.0,100.0,80027.62,78524.0,79989.0,81529.0,363.12125,,10.0,1304.0,311.2709,195.0,308.0,448.0,257.41873,,,873.0,78.1129,,2.0,498.0,29542.752,,213.0,128522.0,9228.203,,214.5,58110.0,193.40343,209.0,2.4314384,,2.0,18.0,6.386187,1.0,6.0,29.0,0.11548043,,0.36348936,0.041975908,,1.0563291,1.7918711,2.0337079
R7-0379_50_9,57.32373,8.413429,,9.367222,6.5783443,182.9694,4.352467,2.8053892,181.54808,,,,,Abarkooh,Bsk,31.183,52.667,2004.0,14.828356,-12.0,14.3,35.8,-3.8679223,-24.9,-3.7,12.8,32.2121,2.0,27.0,100.0,80027.62,78524.0,79989.0,81529.0,363.12125,,10.0,1304.0,311.2709,195.0,308.0,448.0,257.41873,,,873.0,78.1129,,2.0,498.0,29542.752,,213.0,128522.0,9228.203,,214.5,58110.0,193.40343,209.0,2.4314384,,2.0,18.0,6.386187,1.0,6.0,29.0,0.14677043,,,,,,,
R7-0379_50_11,81.09205,7.2413964,2.8103576,9.829251,9.074082,178.25847,4.089523,2.4827993,180.2749,337.60587,26.673006,14.88895,179.79823,Abarkooh,Bsk,31.183,52.667,2004.0,14.828356,-12.0,14.3,35.8,-3.8679223,-24.9,-3.7,12.8,32.2121,2.0,27.0,100.0,80027.62,78524.0,79989.0,81529.0,363.12125,,10.0,1304.0,311.2709,195.0,308.0,448.0,257.41873,,,873.0,78.1129,,2.0,498.0,29542.752,,213.0,128522.0,9228.203,,214.5,58110.0,193.40343,209.0,2.4314384,,2.0,18.0,6.386187,1.0,6.0,29.0,0.08929848,0.03465639,0.24019739,0.021449262,0.008324374,1.0832225,1.7914631,1.6471418
R7-0379_50_13,44.872463,0.7233835,,8.696882,5.7324324,178.38007,,,,209.90976,18.572197,15.140637,179.8591,Abarkooh,Bsk,31.183,52.667,2004.0,14.828356,-12.0,14.3,35.8,-3.8679223,-24.9,-3.7,12.8,32.2121,2.0,27.0,100.0,80027.62,78524.0,79989.0,81529.0,363.12125,,10.0,1304.0,311.2709,195.0,308.0,448.0,257.41873,,,873.0,78.1129,,2.0,498.0,29542.752,,213.0,128522.0,9228.203,,214.5,58110.0,193.40343,209.0,2.4314384,,2.0,18.0,6.386187,1.0,6.0,29.0,0.016120879,,0.21377024,0.003446164,,1.5171365,1.2266456,
R7-0379_50_15,152.75742,8.055518,3.37747,14.217738,11.735795,181.5212,3.325856,3.1168811,180.02777,1.4392055,1.7362608,1.1610254,179.16202,Abarkooh,Bsk,31.183,52.667,2004.0,14.828356,-12.0,14.3,35.8,-3.8679223,-24.9,-3.7,12.8,32.2121,2.0,27.0,100.0,80027.62,78524.0,79989.0,81529.0,363.12125,,10.0,1304.0,311.2709,195.0,308.0,448.0,257.41873,,,873.0,78.1129,,2.0,498.0,29542.752,,213.0,128522.0,9228.203,,214.5,58110.0,193.40343,209.0,2.4314384,,2.0,18.0,6.386187,1.0,6.0,29.0,0.05273405,0.022110023,106.14011,5.597198,2.34676,1.2114849,1.4954545,1.0670462
